Company,LTP,%Change ,Volume ,Buy Price,Sell Price,Buy Qty,Sell Qty
Jubilant Food,"1,484.80",0.41,1694622,0.00,1484.80,0,465
Jubilant Life,427.60,5.00,677265,427.60,0.00,11686,0
Just Dial,348.65,5.72,2587311,0.00,348.65,0,9974
Jyothy Labs,114.80,-1.08,226517,114.80,0.00,19,0
Kajaria Ceramic,344.05,-1.78,352865,0.00,344.05,0,1854
Kalpataru Power,209.85,-0.31,201812,0.00,209.85,0,1
Kansai Nerolac,399.75,1.37,215506,0.00,399.75,0,100
Karnataka Bank,42.70,-0.12,998695,0.00,42.70,0,139
Karur Vysya,28.30,4.62,709405,28.30,0.00,4802,0
Kaveri Seed,376.95,0.05,110652,376.95,0.00,1205,0
KEC Intl,179.35,0.73,335526,0.00,179.35,0,2029
KIOCL,81.50,1.62,24455,0.00,81.50,0,157
KNR Construct,200.25,-1.26,1977211,0.00,200.25,0,9239
Kolte-Patil,157.10,0.19,23014,0.00,0.00,0,0
Kotak Mahindra,"1,303.60",5.17,7771419,1303.60,0.00,1178,0
KPR Mill,439.60,1.74,14996,439.60,0.00,159,0
KRBL,196.05,4.73,1137014,196.05,0.00,3329,0
L&T Finance,61.35,4.07,15752460,0.00,61.35,0,37174
L&T Infotech,"1,450.65",1.18,447191,1450.65,0.00,145,0
L&T Technology,"1,176.55",1.84,105337,0.00,1176.55,0,78
Lakshmi Machine,"2,382.25",0.64,3425,0.00,2382.25,0,62
Larsen,855.25,0.48,4224467,855.25,0.00,2367,0
Laurus Labs,517.95,4.68,906087,517.95,0.00,7250,0
Lemon Tree Hote,18.05,1.69,2344127,0.00,18.05,0,90
LIC Housing Fin,253.90,-2.59,5366408,0.00,253.90,0,10201
Linde India,528.15,1.31,52005,528.15,0.00,468,0
Lupin,896.80,2.22,6448984,0.00,896.80,0,960
Lux Industries,949.25,-1.71,46632,0.00,949.25,0,275
M&M,330.30,-1.20,5770552,330.30,0.00,3302,0
M&M Financial,143.75,2.35,6603470,143.75,0.00,6193,0
Mah Scooters,"2,000.00",2.75,9545,0.00,2000.00,0,5
Mah Seamless,193.10,-1.18,40996,193.10,0.00,30,0
Mahanagar Gas,925.50,1.36,274980,925.50,0.00,889,0
Mahindra CIE,82.10,4.99,154275,82.10,0.00,43252,0
Mahindra Holida,130.60,-2.28,27739,130.60,0.00,10,0
Mahindra Life,184.10,-0.24,17572,184.10,0.00,552,0
Mahindra Logist,269.85,2.96,181645,269.85,0.00,100,0
Manappuram Fin,114.40,6.82,17318524,0.00,114.40,0,9989
Marico,297.15,-2.92,4969835,0.00,297.15,0,3411
Maruti Suzuki,"5,056.35",0.21,1432342,0.00,5056.35,0,105
MAS Financial S,575.45,-4.99,12143,0.00,575.45,0,221
Max Financial,451.95,7.57,2576292,451.95,0.00,2272,0
Max India,63.00,-1.87,136148,0.00,63.00,0,63
Minda Corp,70.40,6.75,1253435,0.00,70.40,0,7109
Minda Ind,267.75,5.48,570808,267.75,0.00,20108,0
Mindtree,879.65,12.73,6485453,879.65,0.00,222,0
