Company,LTP,%Change ,Volume ,Buy Price,Sell Price,Buy Qty,Sell Qty
Caplin Labs,354.55,3.41,278769,354.55,0.00,1057,0
Carborundum,216.15,0.09,69508,216.15,0.00,104,0
CARE Ratings,378.00,-3.82,89055,0.00,378.00,0,64
Castrol,121.95,1.04,1340441,0.00,121.95,0,3761
CCL Products,187.35,-1.65,120482,0.00,187.35,0,1863
CDSL,222.20,2.07,294212,0.00,222.20,0,1230
Ceat,791.80,-0.01,79578,791.80,0.00,90,0
Central Bank,15.10,-0.98,568350,15.10,0.00,527,0
Century,287.45,1.20,966134,0.00,287.45,0,1963
CenturyPlyboard,119.95,-0.58,178863,0.00,119.95,0,375
Cera Sanitary,"2,172.35",3.84,4009,0.00,0.00,0,0
CESC,585.00,-1.97,799914,0.00,585.00,0,554
CG Consumer,216.30,-1.50,624998,216.30,0.00,217,0
CG Power ,8.20,1.86,619760,8.20,0.00,500,0
Chalet Hotels,153.60,-3.82,25829,153.60,0.00,107,0
Chambal Fert,129.75,0.89,1142763,0.00,129.75,0,292
Chennai Petro,62.35,-0.56,297390,0.00,62.35,0,2000
Cholamandalam,282.45,0.46,43487,282.45,0.00,86,0
Cholamandalam,134.30,1.05,10768278,134.30,0.00,254,0
Cipla,608.70,1.57,14089884,608.70,0.00,8484,0
City Union Bank,122.15,0.29,2500154,122.15,0.00,1550,0
Coal India,138.10,0.80,4238903,138.10,0.00,8036,0
Cochin Shipyard,244.15,-1.15,108848,244.15,0.00,5,0
Coffee Day,19.20,-4.95,55688,0.00,19.20,0,4490
Colgate,"1,552.40",4.63,1653281,1552.40,0.00,2021,0
Container Corp,358.70,-0.66,752258,0.00,358.70,0,536
Coromandel Int,566.85,2.15,168480,566.85,0.00,22,0
Corporation Bk,9.80,0.00,773913,0.00,9.80,0,1250
Cox & Kings,1.00,5.26,1553925,1.00,0.00,25400,0
CreditAccess Gr,425.05,0.72,222783,0.00,425.05,0,441
CRISIL,"1,387.80",-1.68,22809,0.00,0.00,0,0
Cummins,369.65,-3.97,2774768,369.65,0.00,110,0
Cyient,206.65,-2.87,944398,0.00,206.65,0,200
Dabur India,491.75,-1.46,4482202,0.00,491.75,0,478
Dalmia Bharat,534.35,2.48,121266,0.00,534.35,0,356
DB Corp,75.20,0.60,69848,0.00,75.20,0,10
DCB Bank,81.75,-1.39,1040886,81.75,0.00,954,0
DCM Shriram,257.70,-2.44,71630,257.70,0.00,136,0
Deepak Fert,97.30,0.88,1944239,0.00,97.30,0,38
Deepak Nitrite,480.35,4.14,1036585,480.35,0.00,3431,0
Delta Corp,68.75,1.70,1101833,0.00,68.75,0,1079
Dilip Buildcon,239.30,-0.99,151007,239.30,0.00,995,0
Dish TV,4.85,2.11,2798669,4.85,0.00,13835,0
Dishman Carboge,86.95,0.58,179573,86.95,0.00,1196,0
Divis Labs,"2,425.85",0.02,924358,2425.85,0.00,58,0
Dixon Technolog,"4,200.65",-0.04,22487,4200.65,0.00,7,0
DLF,133.00,3.74,6956597,133.00,0.00,707,0
Dr Lal PathLab,"1,556.25",4.02,442217,1556.25,0.00,475,0
Dr Reddys Labs,"3,980.30",-0.56,1124910,0.00,3980.30,0,266
eClerx Services,447.45,1.42,8547,447.45,0.00,72,0
Edelweiss,37.20,1.92,1851127,0.00,37.20,0,4945
Eicher Motors,"13,999.50",3.02,183617,0.00,0.00,0,0
EID Parry,149.35,5.51,333684,149.35,0.00,1827,0
EIH,74.95,-0.66,39449,0.00,74.95,0,695
Elgi Equipments,128.05,0.79,22590,0.00,0.00,0,0
Emami,200.05,0.73,642867,200.05,0.00,283,0
Endurance Techn,616.40,5.42,1030070,616.40,0.00,372,0
EngineersInd,67.50,-1.82,1003814,0.00,0.00,0,0
Equitas Holding,48.95,-4.11,18208067,0.00,48.95,0,4076
Eris Life,481.30,-0.61,31607,0.00,0.00,0,0
Escorts,709.10,-1.10,3188799,0.00,709.10,0,6467
Essel Propack,169.45,-2.31,61612,169.45,0.00,45,0
Exide Ind,148.00,-0.30,1252714,148.00,0.00,799,0
FDC,260.05,-0.15,452746,0.00,260.05,0,568
Federal Bank,44.50,3.25,17959496,0.00,44.50,0,10
Fine Organics,"1,985.95",0.62,6454,1985.95,0.00,8,0
Finolex Cables,239.20,4.29,66324,239.20,0.00,900,0
Finolex Ind,379.55,-0.90,73513,379.55,0.00,63,0
Firstsource Sol,36.15,7.27,2496387,36.15,0.00,2520,0
Fortis Health,119.40,-1.69,807105,119.40,0.00,1645,0
Future Consumer,8.85,-4.84,11263328,0.00,8.85,0,57277
Future Life,149.30,-4.29,646866,149.30,0.00,187,0
Future Retail,97.10,-4.99,992018,0.00,97.10,0,357628
Future Supply,131.60,-4.98,231584,0.00,131.60,0,13252
GAIL,81.70,0.25,12723485,81.70,0.00,9648,0
Galaxy Surfacta,"1,398.80",1.83,12293,0.00,1398.80,0,5
Garden Reach Sh,140.65,-1.47,65827,0.00,140.65,0,950
Gateway Distri,94.25,1.95,88006,94.25,0.00,21106,0
Gayatri Project,12.25,4.70,34478,12.25,0.00,105313,0
GE Power India,442.25,2.71,750490,442.25,0.00,200,0
GE Shipping,229.70,5.97,299112,229.70,0.00,266,0
GE T&D India,85.40,-1.95,108559,85.40,0.00,100,0
General Insuran,137.65,1.96,208248,137.65,0.00,22,0
Gillette India,"5,311.35",1.02,2102,0.00,5311.35,0,3
GlaxoSmith Con,"10,732.60",0.00,199724,0.00,10732.60,0,91
GlaxoSmithKline,"1,443.55",-0.79,33040,0.00,1443.55,0,2
Glenmark,342.10,-0.80,6288958,342.10,0.00,5003,0
GMM Pfaudler,"3,552.00",1.21,45890,3552.00,0.00,93,0
GMR Infra,17.00,-0.87,5338926,0.00,17.00,0,57267
GNFC,140.10,-1.58,997324,0.00,140.10,0,8
Godfrey Phillip,"1,021.60",-1.18,96177,1021.60,0.00,66,0
Godrej Agrovet,391.55,2.21,47905,391.55,0.00,100,0
